;$FILEVERSION=1.1
;$STARTTIME=46168.6396648727
;
;   Start time: 26/05/2026 15:21:07.045.0
;   Generated by PCAN-View v5.3.3.958
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)       15.6  Rx      0610  8  00 00 00 00 00 00 00 00 
     2)       15.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
     3)       19.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
     4)       46.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
     5)       50.5  Rx      0618  8  00 01 00 64 AD 13 00 00 
     6)       53.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
     7)       87.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
     8)      115.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
     9)      116.5  Rx      0610  8  00 00 00 00 00 00 00 00 
    10)      121.7  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    11)      148.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    12)      151.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
    13)      155.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    14)      189.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    15)      215.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    16)      217.6  Rx      0610  8  00 00 00 00 00 00 00 00 
    17)      223.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    18)      250.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    19)      252.6  Rx      0618  8  00 01 00 64 AC 13 00 00 
    20)      257.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    21)      291.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    22)      293.6  Rx      0625  8  00 00 00 00 32 00 00 00 
    23)      315.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    24)      318.6  Rx      0610  8  00 00 00 00 00 00 00 00 
    25)      325.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    26)      347.6  Rx      0620  8  0A 19 00 00 81 02 00 00 
    27)      352.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    28)      353.6  Rx      0618  8  00 01 00 64 AC 13 00 00 
    29)      359.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    30)      389.7  Rx      0037  3  00 00 00 
    31)      390.2  Rx      0030  8  07 40 00 04 00 00 00 32 
    32)      393.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    33)      415.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    34)      419.6  Rx      0610  8  00 00 00 00 00 00 00 00 
    35)      427.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    36)      454.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    37)      454.7  Rx      0618  8  00 01 00 64 AD 13 00 00 
    38)      461.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    39)      478.6  Rx      0628  8  0A 04 6F 00 20 00 00 00 
    40)      495.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    41)      515.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    42)      515.6  Rx      0100  8  2C 46 FB 05 12 C0 AD A3 
    43)      518.6  Rx      0101  8  13 88 00 17 00 60 8B 52 
    44)      520.6  Rx      0610  8  00 00 00 00 00 00 00 00 
    45)      521.6  Rx      0102  8  00 00 00 00 00 00 1B 00 
    46)      524.6  Rx      0104  4  1C 03 71 49 
    47)      527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
    48)      529.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    49)      530.6  Rx      0107  8  0F CB 0F D2 0F CE 7D 82 
    50)      533.6  Rx      0108  8  0F D5 0F D1 0F CD 7E 9A 
    51)      536.6  Rx      0109  8  0F D4 0F D0 0F CC BE 37 
    52)      539.6  Rx      010A  8  0F D3 0F CF 0F CB 7A F2 
    53)      542.6  Rx      010B  8  0F D2 0F CE 0F D5 72 1E 
    54)      545.6  Rx      010C  8  0F D1 0F CD 0F D4 B2 6B 
    55)      548.6  Rx      010D  8  0F D0 0F CC 0F D3 70 46 
    56)      551.6  Rx      010E  8  0F CF 0F CB 0F D2 B3 A3 
    57)      554.6  Rx      010F  8  0F CE 0F D5 0F D1 74 BE 
    58)      555.5  Rx      0618  8  00 01 00 64 AD 13 00 00 
    59)      556.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    60)      557.6  Rx      0110  8  0F CD 00 00 00 00 34 2D 
    61)      563.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    62)      597.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    63)      615.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    64)      621.6  Rx      0610  8  00 00 00 00 00 00 00 00 
    65)      631.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    66)      656.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
    67)      658.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    68)      665.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    69)      699.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    70)      715.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    71)      722.5  Rx      0610  8  00 00 00 00 00 00 00 00 
    72)      733.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    73)      757.6  Rx      0618  8  00 01 00 64 AC 13 00 00 
    74)      760.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    75)      767.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    76)      801.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    77)      815.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    78)      823.5  Rx      0610  8  00 00 00 00 00 00 00 00 
    79)      835.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    80)      858.6  Rx      0618  8  00 01 00 64 AC 13 00 00 
    81)      862.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
    82)      869.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    83)      903.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    84)      915.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    85)      924.6  Rx      0610  8  00 00 00 00 00 00 00 00 
    86)      937.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    87)      959.6  Rx      0618  8  00 01 00 64 AD 13 00 00 
    88)      964.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    89)      971.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    90)     1005.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    91)     1015.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    92)     1025.6  Rx      0610  8  00 00 00 00 00 00 00 00 
    93)     1039.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    94)     1060.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
    95)     1066.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
    96)     1073.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    97)     1107.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
    98)     1115.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
    99)     1126.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   100)     1141.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   101)     1161.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
   102)     1168.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   103)     1175.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   104)     1182.6  Rx      0625  8  00 00 00 00 32 00 00 00 
   105)     1209.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   106)     1215.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   107)     1227.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   108)     1235.6  Rx      0628  8  0A 04 6F 00 20 00 00 00 
   109)     1243.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   110)     1262.6  Rx      0618  8  00 01 00 64 AC 13 00 00 
   111)     1270.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   112)     1277.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   113)     1311.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   114)     1315.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   115)     1328.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   116)     1345.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   117)     1348.6  Rx      0620  8  0A 19 00 00 81 02 00 00 
   118)     1363.6  Rx      0618  8  00 01 00 64 AC 13 00 00 
   119)     1372.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   120)     1379.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   121)     1413.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   122)     1415.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   123)     1429.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   124)     1447.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   125)     1464.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
   126)     1474.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   127)     1481.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   128)     1515.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   129)     1515.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   130)     1515.6  Rx      0100  8  2C 46 FA 74 12 C0 4A F2 
   131)     1518.6  Rx      0101  8  13 88 00 17 00 60 8B 52 
   132)     1521.6  Rx      0102  8  00 00 00 00 00 00 1B 00 
   133)     1524.6  Rx      0104  4  1C 03 71 49 
   134)     1527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
   135)     1530.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   136)     1530.6  Rx      0107  8  0F CB 0F D2 0F CE 7D 82 
   137)     1533.6  Rx      0108  8  0F D5 0F D1 0F CD 7E 9A 
   138)     1536.6  Rx      0109  8  0F D4 0F D0 0F CC BE 37 
   139)     1539.6  Rx      010A  8  0F D3 0F CF 0F CB 7A F2 
   140)     1542.6  Rx      010B  8  0F D2 0F CE 0F D5 72 1E 
   141)     1545.6  Rx      010C  8  0F D1 0F CD 0F D4 B2 6B 
   142)     1548.6  Rx      010D  8  0F D0 0F CC 0F D3 70 46 
   143)     1549.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   144)     1551.6  Rx      010E  8  0F CF 0F CB 0F D2 B3 A3 
   145)     1554.6  Rx      010F  8  0F CE 0F D5 0F D1 74 BE 
   146)     1557.6  Rx      0110  8  0F CD 00 00 00 00 34 2D 
   147)     1565.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
   148)     1576.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   149)     1583.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   150)     1615.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   151)     1617.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   152)     1631.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   153)     1651.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   154)     1666.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
   155)     1678.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   156)     1685.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   157)     1715.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   158)     1719.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   159)     1732.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   160)     1753.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   161)     1767.6  Rx      0618  8  00 01 00 64 AC 13 00 00 
   162)     1780.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   163)     1787.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   164)     1815.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   165)     1821.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   166)     1833.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   167)     1855.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   168)     1868.6  Rx      0618  8  00 01 00 64 AA 13 00 00 
   169)     1882.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   170)     1889.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   171)     1915.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   172)     1923.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   173)     1934.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   174)     1957.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   175)     1969.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
   176)     1984.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
