section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,25.185885,90.669,0.0,0.0
Straight,10,25.199819,90.719,0.035103,0.396938
Straight,20,25.185617,90.668,-0.03578,0.793878
Straight,30,25.168421,90.606,-0.043294,1.191066
Straight,40,25.15137,90.545,-0.0429,1.588524
Straight,50,25.134463,90.484,-0.042509,1.98625
Straight,60,25.117699,90.424,-0.042121,2.384243
Straight,70,25.122153,90.44,0.011187,2.782333
Straight,80,25.128905,90.464,0.016965,3.180335
Straight,90,25.135593,90.488,0.01681,3.57823
Straight,100,25.142219,90.512,0.016656,3.97602
Straight,110,25.148782,90.536,0.016504,4.373705
Straight,120,25.180206,90.649,0.079076,4.77109
Straight,130,25.240831,90.867,0.152839,5.16775
Straight,140,25.300762,91.083,0.15145,5.563464
Straight,150,25.360011,91.296,0.150079,5.958247
Straight,160,25.418589,91.507,0.148726,6.352113
Straight,170,25.476509,91.715,0.147391,6.745079
Straight,180,25.53378,91.922,0.146072,7.137156
Straight,190,25.590415,92.125,0.14477,7.528361
Straight,200,25.646423,92.327,0.143484,7.918705
Straight,210,25.701815,92.527,0.142215,8.308202
Straight,220,25.756602,92.724,0.140961,8.696865
Straight,230,25.810792,92.919,0.139722,9.084707
Straight,240,25.864395,93.112,0.138499,9.47174
Straight,250,25.917422,93.303,0.13729,9.857976
Straight,260,25.96988,93.492,0.136096,10.243427
Straight,270,26.021779,93.678,0.134917,10.628104
Straight,280,26.073128,93.863,0.133751,11.012019
Straight,290,26.123935,94.046,0.132599,11.395182
Straight,300,26.174209,94.227,0.13146,11.777605
Straight,310,26.249358,94.498,0.196978,12.159113
Straight,320,26.424727,95.129,0.461872,12.538806
Straight,330,26.597471,95.751,0.457963,12.916006
Straight,340,26.767668,96.364,0.454128,13.290783
Straight,350,26.935391,96.967,0.450362,13.663201
Straight,360,26.882327,96.776,-0.142788,14.034826
Straight,370,26.823226,96.564,-0.158702,14.407227
Straight,380,26.763981,96.35,-0.15874,14.78045
Straight,390,26.704588,96.137,-0.158782,15.154502
Straight,400,26.645046,95.922,-0.158829,15.529387
Straight,410,26.58535,95.707,-0.158881,15.905113
Straight,420,26.525499,95.492,-0.158937,16.281683
Straight,430,26.412089,95.084,-0.300182,16.659487
Straight,440,26.26232,94.544,-0.394449,17.039178
Straight,450,26.111611,94.002,-0.394662,17.421047
Straight,460,25.975039,93.51,-0.355679,17.805023
Straight,470,25.860415,93.097,-0.297079,18.190859
Straight,480,25.745195,92.683,-0.297301,18.578414
Straight,490,25.643136,92.315,-0.26223,18.967607
Straight,500,25.572822,92.062,-0.18006,19.358111
