section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,29.109401,104.794,0.0,0.0
Straight,10,29.125506,104.852,0.046892,0.343437
Straight,20,29.109091,104.793,-0.047795,0.686875
Straight,30,29.089216,104.721,-0.057834,1.030528
Straight,40,29.069509,104.65,-0.057307,1.374414
Straight,50,29.049968,104.58,-0.056785,1.718533
Straight,60,29.030593,104.51,-0.056266,2.062882
Straight,70,29.03574,104.529,0.014944,2.407316
Straight,80,29.043544,104.557,0.022662,2.751673
Straight,90,29.051274,104.585,0.022455,3.095938
Straight,100,29.058932,104.612,0.02225,3.440111
Straight,110,29.066518,104.639,0.022047,3.784194
Straight,120,29.102837,104.77,0.105633,4.128018
Straight,130,29.172907,105.022,0.204168,4.471214
Straight,140,29.242174,105.272,0.202312,4.813591
Straight,150,29.310652,105.518,0.200481,5.155163
Straight,160,29.378356,105.762,0.198674,5.495943
Straight,170,29.445298,106.003,0.196889,5.835942
Straight,180,29.511492,106.241,0.195128,6.175173
Straight,190,29.576949,106.477,0.193388,6.513649
Straight,200,29.641683,106.71,0.191671,6.851381
Straight,210,29.705704,106.941,0.189975,7.188379
Straight,220,29.769025,107.168,0.1883,7.524657
Straight,230,29.831657,107.394,0.186646,7.860223
Straight,240,29.893611,107.617,0.185011,8.19509
Straight,250,29.954898,107.838,0.183397,8.529267
Straight,260,30.015529,108.056,0.181802,8.862765
Straight,270,30.075513,108.272,0.180226,9.195593
Straight,280,30.134861,108.485,0.178669,9.527762
Straight,290,30.193583,108.697,0.17713,9.85928
Straight,300,30.251688,108.906,0.175609,10.190158
Straight,310,30.338544,109.219,0.26313,10.520244
Straight,320,30.541233,109.948,0.616984,10.848761
Straight,330,30.740887,110.667,0.611762,11.17512
Straight,340,30.937597,111.375,0.606639,11.499382
Straight,350,31.131449,112.073,0.601609,11.821604
Straight,360,31.070119,111.852,-0.190741,12.14314
Straight,370,31.001811,111.607,-0.211999,12.465346
Straight,380,30.933336,111.36,-0.21205,12.788265
Straight,390,30.864691,111.113,-0.212106,13.1119
Straight,400,30.795873,110.865,-0.212169,13.436256
Straight,410,30.726878,110.617,-0.212238,13.761339
Straight,420,30.657703,110.368,-0.212313,14.087154
Straight,430,30.526626,109.896,-0.400994,14.414035
Straight,440,30.353526,109.273,-0.526918,14.742549
Straight,450,30.179339,108.646,-0.527203,15.072948
Straight,460,30.021491,108.077,-0.475128,15.40517
Straight,470,29.889011,107.6,-0.396848,15.739001
Straight,480,29.755841,107.121,-0.397144,16.074319
Straight,490,29.637884,106.696,-0.350296,16.411055
Straight,500,29.556616,106.404,-0.24053,16.748924
Straight,510,29.475051,106.11,-0.240746,17.087725
Straight,520,29.393183,105.815,-0.240971,17.427467
Straight,530,29.311006,105.52,-0.241207,17.768158
Straight,540,29.228514,105.223,-0.241453,18.109808
Straight,550,29.1457,104.925,-0.24171,18.452425
Straight,560,29.062558,104.625,-0.241977,18.796019
Straight,570,28.979082,104.325,-0.242256,19.140599
Straight,580,28.895264,104.023,-0.242545,19.486175
Straight,590,26.704656,96.137,-6.089881,19.845888
Turn,600,25.0,90.0,-4.406932,20.2327
Turn,610,25.0,90.0,0.0,20.6327
Turn,620,25.0,90.0,0.0,21.0327
Turn,630,25.0,90.0,0.0,21.4327
Turn,640,25.0,90.0,0.0,21.8327
Turn,650,25.0,90.0,0.0,22.2327
Turn,660,25.0,90.0,0.0,22.6327
Turn,670,24.775536,89.192,-0.558642,23.034504
Turn,680,24.368569,87.727,-1.0,23.441471
Turn,690,23.95469,86.237,-1.0,23.85535
Turn,700,23.533533,84.721,-1.0,24.276507
Straight,710,14.0476,50.571,-17.824605,24.808689
Straight,720,14.17621,51.034,0.181493,25.51731
Straight,730,14.303663,51.493,0.181493,26.219561
Straight,740,14.429991,51.948,0.181493,26.915609
Straight,750,14.555222,52.399,0.181493,27.605616
Straight,760,14.679385,52.846,0.181493,28.289736
Straight,770,15.159382,54.574,0.716126,28.960005
Straight,780,15.60542,56.18,0.686113,29.610099
Straight,790,16.022543,57.681,0.659638,30.242451
Straight,800,16.414686,59.093,0.636002,30.859026
Straight,810,16.784987,60.426,0.614692,31.461442
Straight,820,17.135989,61.69,0.595317,32.051048
Straight,830,17.469793,62.891,0.577577,32.628986
Straight,840,17.86746,64.323,0.702623,33.194961
Straight,850,18.25475,65.717,0.699488,33.748637
Straight,860,18.624468,67.048,0.681745,34.290947
Straight,870,18.978341,68.322,0.665331,34.822823
Straight,880,19.317836,69.544,0.650069,35.345068
Straight,890,19.50577,70.221,0.364813,35.860218
Straight,900,19.672681,70.822,0.326966,36.370703
Straight,910,19.834769,71.405,0.320183,36.876937
Straight,920,19.992287,71.972,0.313674,37.379108
Straight,930,20.145469,72.524,0.30742,37.877392
Straight,940,20.294531,73.06,0.301403,38.371952
Straight,950,20.439671,73.583,0.295609,38.86294
Straight,960,20.581074,74.092,0.290022,39.350498
Straight,970,20.668298,74.406,0.179897,39.835354
Straight,980,20.740945,74.667,0.150413,40.318338
Straight,990,20.812025,74.923,0.147679,40.799651
Straight,1000,20.881587,75.174,0.145015,41.279341
Straight,1010,20.94968,75.419,0.142421,41.757452
Straight,1020,20.455364,73.639,-1.023359,42.240485
Straight,1030,19.977975,71.921,-0.965121,42.735126
Straight,1040,19.482683,70.138,-0.977229,43.24196
Straight,1050,18.967302,68.282,-0.990819,43.762117
Straight,1060,18.429193,66.345,-1.00617,44.296926
Straight,1070,17.865115,64.314,-1.023639,44.847977
Straight,1080,17.416622,62.7,-0.791182,45.414842
Straight,1090,16.962923,61.067,-0.779898,45.996583
Straight,1100,16.485662,59.348,-0.798186,46.594516
Straight,1110,15.981139,57.532,-0.819012,47.21053
Straight,1120,15.444638,55.601,-0.842998,47.84695
Straight,1130,14.869994,53.532,-0.871007,48.506697
Straight,1140,14.436893,51.973,-0.634643,49.189131
Straight,1150,13.993014,50.375,-0.630972,49.892615
Straight,1160,13.512907,48.646,-0.660288,50.619732
Straight,1170,12.988306,46.758,-0.695128,51.374414
Straight,1180,12.416461,44.699,-0.726379,52.161668
Straight,1190,11.787001,42.433,-0.761755,52.987996
Straight,1200,25.689169,92.481,26.05,53.521668
Straight,1210,28.895264,104.023,8.750143,53.888073
Straight,1220,28.895264,104.023,0.0,54.234151
Straight,1230,28.895264,104.023,0.0,54.580228
Straight,1240,28.895264,104.023,0.0,54.926306
Straight,1250,28.895264,104.023,0.0,55.272383
Straight,1260,28.895264,104.023,0.0,55.618461
Straight,1270,28.895264,104.023,0.0,55.964538
Straight,1280,28.895264,104.023,0.0,56.310616
Straight,1290,28.895264,104.023,0.0,56.656693
Straight,1300,28.895264,104.023,0.0,57.002771
Straight,1310,28.895264,104.023,0.0,57.348848
Straight,1320,28.895264,104.023,0.0,57.694926
Straight,1330,28.895264,104.023,0.0,58.041003
Straight,1340,28.895264,104.023,0.0,58.387081
Straight,1350,28.895264,104.023,0.0,58.733158
Straight,1360,28.895264,104.023,0.0,59.079235
Straight,1370,28.895264,104.023,0.0,59.425313
Straight,1380,28.895264,104.023,0.0,59.77139
Straight,1390,28.895264,104.023,0.0,60.117468
Straight,1400,28.895264,104.023,0.0,60.463545
Straight,1410,28.895264,104.023,0.0,60.809623
Straight,1420,28.895264,104.023,0.0,61.1557
Straight,1430,28.895264,104.023,0.0,61.501778
Straight,1440,28.895264,104.023,0.0,61.847855
Straight,1450,28.895264,104.023,0.0,62.193933
Straight,1460,28.895264,104.023,0.0,62.54001
Straight,1470,28.895264,104.023,0.0,62.886088
Straight,1480,28.895264,104.023,0.0,63.232165
Straight,1490,28.895264,104.023,0.0,63.578243
Straight,1500,28.895264,104.023,0.0,63.92432
Straight,1510,28.895264,104.023,0.0,64.270398
Straight,1520,28.895264,104.023,0.0,64.616475
Straight,1530,28.895264,104.023,0.0,64.962553
Straight,1540,28.895264,104.023,0.0,65.30863
Straight,1550,28.895264,104.023,0.0,65.654708
Straight,1560,28.895264,104.023,0.0,66.000785
Straight,1570,28.895264,104.023,0.0,66.346863
Straight,1580,28.895264,104.023,0.0,66.69294
Straight,1590,28.80265,103.69,-0.26718,67.039573
Straight,1600,28.335044,102.006,-1.335898,67.389605
Straight,1610,27.85959,100.295,-1.335898,67.745511
Straight,1620,27.37588,98.553,-1.335898,68.107597
Straight,1630,26.883468,96.78,-1.335898,68.476197
Straight,1640,26.381866,94.975,-1.335898,68.851675
Straight,1650,25.870541,93.134,-1.335898,69.234433
Straight,1660,25.348904,91.256,-1.335898,69.62491
Straight,1670,24.816305,89.339,-1.335898,70.023592
Straight,1680,24.272021,87.379,-1.335898,70.431021
Straight,1690,23.71525,85.375,-1.335898,70.847798
Straight,1700,23.145088,83.322,-1.335898,71.274599
Straight,1710,22.560522,81.218,-1.335898,71.712182
Straight,1720,21.9604,79.057,-1.335898,72.161409
Straight,1730,21.343412,76.836,-1.335898,72.623262
Straight,1740,20.708048,74.549,-1.335898,73.098869
Straight,1750,20.052564,72.189,-1.335898,73.589539
Straight,1760,19.374915,69.75,-1.335898,74.0968
Straight,1770,18.672691,67.222,-1.335898,74.622457
Straight,1780,17.943005,64.595,-1.335898,75.168671
