section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,23.985035,86.346,0.0,0.0
Straight,10,23.998304,86.394,0.031836,0.416811
Straight,20,23.984779,86.345,-0.032449,0.833625
Straight,30,23.968403,86.286,-0.039264,1.250698
Straight,40,23.952165,86.228,-0.038907,1.668056
Straight,50,23.936064,86.17,-0.038552,2.085695
Straight,60,23.9201,86.112,-0.0382,2.503614
Straight,70,23.924341,86.128,0.010145,2.921635
Straight,80,23.930771,86.151,0.015386,3.339563
Straight,90,23.93714,86.174,0.015245,3.75738
Straight,100,23.94345,86.196,0.015106,4.175086
Straight,110,23.949701,86.219,0.014968,4.592682
Straight,120,23.979626,86.327,0.071716,5.009963
Straight,130,24.037361,86.534,0.138612,5.426482
Straight,140,24.094434,86.74,0.137352,5.842008
Straight,150,24.150858,86.943,0.136109,6.256556
Straight,160,24.206644,87.144,0.134882,6.670142
Straight,170,24.261801,87.342,0.133671,7.082782
Straight,180,24.316342,87.539,0.132475,7.49449
Straight,190,24.370277,87.733,0.131294,7.90528
Straight,200,24.423614,87.925,0.130128,8.315168
Straight,210,24.476366,88.115,0.128977,8.724166
Straight,220,24.52854,88.303,0.127839,9.132288
Straight,230,24.580146,88.489,0.126716,9.539548
Straight,240,24.631194,88.672,0.125607,9.945959
Straight,250,24.681692,88.854,0.124511,10.351532
Straight,260,24.731649,89.034,0.123428,10.756281
Straight,270,24.781074,89.212,0.122358,11.160218
Straight,280,24.829975,89.388,0.1213,11.563354
Straight,290,24.878359,89.562,0.120256,11.965701
Straight,300,24.926236,89.734,0.119223,12.36727
Straight,310,24.997801,89.992,0.178642,12.767879
Straight,320,25.164809,90.593,0.418878,13.166582
Straight,330,25.329317,91.186,0.415333,13.562668
Straight,340,25.491399,91.769,0.411855,13.956208
Straight,350,25.651125,92.344,0.40844,14.347272
Straight,360,25.600591,92.162,-0.129496,14.737503
Straight,370,25.544308,91.96,-0.143929,15.128549
Straight,380,25.487888,91.756,-0.143963,15.520458
Straight,390,25.431327,91.553,-0.144002,15.913237
Straight,400,25.374623,91.349,-0.144044,16.306892
Straight,410,25.317774,91.144,-0.144091,16.701428
Straight,420,25.260777,90.939,-0.144142,17.096853
Straight,430,25.152774,90.55,-0.27224,17.493572
Straight,440,25.010146,90.037,-0.357732,17.892272
Straight,450,24.866622,89.52,-0.357925,18.293261
Straight,460,24.736562,89.052,-0.322571,18.696461
Straight,470,24.627403,88.659,-0.269425,19.101615
Straight,480,24.517677,88.264,-0.269626,19.508573
Straight,490,24.420484,87.914,-0.23782,19.917252
Straight,500,24.353523,87.673,-0.163299,20.327306
Straight,510,24.286316,87.431,-0.163445,20.738492
Straight,520,24.21886,87.188,-0.163598,21.150819
Straight,530,24.15115,86.944,-0.163758,21.564298
Straight,540,24.083179,86.699,-0.163926,21.978941
Straight,550,24.014944,86.454,-0.1641,22.394757
Straight,560,23.946438,86.207,-0.164281,22.81176
Straight,570,23.877657,85.96,-0.164471,23.229959
Straight,580,23.808594,85.711,-0.164667,23.649367
Straight,590,22.003617,79.213,-4.1345,24.085932
Turn,600,23.808594,85.711,4.1345,24.522497
Turn,610,23.808594,85.711,0.0,24.942513
Turn,620,23.808594,85.711,0.0,25.362529
