section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,22.894862,82.422,0.0,0.0
Straight,10,22.907528,82.467,0.029007,0.436658
Straight,20,22.894618,82.421,-0.029566,0.873319
Straight,30,22.878986,82.364,-0.035776,1.310252
Straight,40,22.863486,82.309,-0.03545,1.747483
Straight,50,22.848117,82.253,-0.035127,2.185008
Straight,60,22.832878,82.198,-0.034806,2.622827
Straight,70,22.836927,82.213,0.009244,3.060753
Straight,80,22.843064,82.235,0.014019,3.498582
Straight,90,22.849144,82.257,0.013891,3.936293
Straight,100,22.855167,82.279,0.013764,4.373889
Straight,110,22.861134,82.3,0.013638,4.811369
Straight,120,22.889699,82.403,0.065344,5.24852
Straight,130,22.94481,82.601,0.126298,5.684872
Straight,140,22.999289,82.797,0.12515,6.120184
Straight,150,23.053148,82.991,0.124017,6.554471
Straight,160,23.106398,83.183,0.122899,6.987751
Straight,170,23.159049,83.373,0.121796,7.420039
Straight,180,23.211111,83.56,0.120706,7.851351
Straight,190,23.262594,83.745,0.11963,8.281702
Straight,200,23.313507,83.929,0.118568,8.711107
Straight,210,23.363861,84.11,0.117518,9.13958
Straight,220,23.413663,84.289,0.116482,9.567136
Straight,230,23.462924,84.467,0.115459,9.993788
Straight,240,23.511652,84.642,0.114448,10.41955
Straight,250,23.559854,84.815,0.113449,10.844436
Straight,260,23.607541,84.987,0.112463,11.268457
Straight,270,23.654719,85.157,0.111488,11.691628
Straight,280,23.701397,85.325,0.110524,12.11396
Straight,290,23.747583,85.491,0.109572,12.535465
Straight,300,23.793283,85.656,0.108632,12.956156
Straight,310,23.861596,85.902,0.162772,13.37584
Straight,320,24.021013,86.476,0.381666,13.793528
Straight,330,24.178043,87.041,0.378436,14.208474
Straight,340,24.332758,87.598,0.375266,14.620754
Straight,350,24.485224,88.147,0.372155,15.030439
Straight,360,24.436988,87.973,-0.117992,15.439251
Straight,370,24.383263,87.78,-0.131143,15.848917
Straight,380,24.329407,87.586,-0.131174,16.259488
Straight,390,24.275417,87.392,-0.131209,16.67097
Straight,400,24.22129,87.197,-0.131248,17.083369
Straight,410,24.167025,87.001,-0.13129,17.496692
Straight,420,24.112618,86.805,-0.131337,17.910945
Straight,430,24.009525,86.434,-0.248054,18.326554
Straight,440,23.87338,85.944,-0.325951,18.74424
Straight,450,23.736379,85.451,-0.326127,19.164322
Straight,460,23.61223,85.004,-0.293914,19.586721
Straight,470,23.508033,84.629,-0.24549,20.011166
Straight,480,23.403294,84.252,-0.245673,20.437503
Straight,490,23.310519,83.918,-0.216693,20.865642
Straight,500,23.246601,83.688,-0.148792,21.295221
Straight,510,23.18245,83.457,-0.148925,21.725986
Straight,520,23.11806,83.225,-0.149065,22.157947
Straight,530,23.053426,82.992,-0.14921,22.591115
Straight,540,22.988545,82.759,-0.149363,23.025501
Straight,550,22.923411,82.524,-0.149521,23.461117
Straight,560,22.858019,82.289,-0.149687,23.897976
Straight,570,22.792364,82.053,-0.149859,24.336088
Straight,580,22.72644,81.815,-0.150038,24.775467
Straight,590,21.003503,75.613,-3.767197,25.232819
Turn,600,22.72644,81.815,3.767197,25.690172
Turn,610,22.72644,81.815,0.0,26.130188
Turn,620,22.72644,81.815,0.0,26.570204
Turn,630,22.72644,81.815,0.0,27.01022
Turn,640,22.72644,81.815,0.0,27.450236
Turn,650,22.72644,81.815,0.0,27.890252
Turn,660,22.72644,81.815,0.0,28.330269
Turn,670,22.522389,81.081,-0.461654,28.772269
Turn,680,22.152433,79.749,-0.826386,29.219948
Turn,690,21.776193,78.394,-0.826386,29.675232
Turn,700,21.393337,77.016,-0.826386,30.138522
Straight,710,11.048591,39.775,-16.780176,30.755008
Straight,720,11.149744,40.139,0.112271,31.655977
Straight,730,11.249987,40.5,0.112271,32.548845
Straight,740,11.349345,40.858,0.112271,33.433827
Straight,750,11.447841,41.212,0.112271,34.311128
Straight,760,11.545497,41.564,0.112271,35.180945
Straight,770,11.92302,42.923,0.442995,36.033151
Straight,780,12.273833,44.186,0.424429,36.859704
Straight,790,12.601905,45.367,0.408052,37.663701
Straight,800,12.91033,46.477,0.393431,38.447638
Straight,810,13.201575,47.526,0.380248,39.213572
Straight,820,13.477643,48.52,0.368263,39.963219
Straight,830,13.740183,49.465,0.357289,40.698032
Straight,840,14.052952,50.591,0.434642,41.417634
Straight,850,14.35756,51.687,0.432703,42.121599
Straight,860,14.648347,52.734,0.421727,42.811114
Straight,870,14.926672,53.736,0.411574,43.48736
Straight,880,15.193689,54.697,0.402132,44.151363
Straight,890,15.341501,55.229,0.225673,44.806345
Straight,900,15.472779,55.702,0.202261,45.455394
Straight,910,15.600262,56.161,0.198065,46.099039
Straight,920,15.724152,56.607,0.194039,46.737519
Straight,930,15.844631,57.041,0.19017,47.371056
Straight,940,15.96187,57.463,0.186448,47.999858
Straight,950,16.076025,57.874,0.182863,48.624119
Straight,960,16.18724,58.274,0.179408,49.244019
Straight,970,16.255842,58.521,0.111284,49.860483
Straight,980,16.31298,58.727,0.093045,50.474568
Straight,990,16.368885,58.928,0.091354,51.086528
Straight,1000,16.423597,59.125,0.089706,51.696424
Straight,1010,16.477152,59.318,0.088101,52.304313
Straight,1020,16.088367,57.918,-0.633049,52.918459
Straight,1030,15.712896,56.566,-0.597024,53.547365
Straight,1040,15.323343,55.164,-0.604513,54.191773
Straight,1050,14.91799,53.705,-0.61292,54.853119
Straight,1060,14.494761,52.181,-0.622416,55.533097
Straight,1070,14.051108,50.584,-0.633223,56.233723
Straight,1080,13.698363,49.314,-0.489424,56.954458
Straight,1090,13.341524,48.029,-0.482444,57.694106
Straight,1100,12.966153,46.678,-0.493757,58.45434
Straight,1110,12.56934,45.25,-0.50664,59.237564
Straight,1120,12.147377,43.731,-0.521478,60.046733
Straight,1130,11.695413,42.103,-0.538804,60.885561
Straight,1140,11.354774,40.877,-0.39259,61.753233
Straight,1150,11.005658,39.62,-0.390319,62.64767
Straight,1160,10.628049,38.261,-0.408454,63.572153
Straight,1170,10.215444,36.776,-0.430006,64.531685
Straight,1180,9.765682,35.156,-0.449338,65.53263
Straight,1190,9.270605,33.374,-0.471221,66.583255
Straight,1200,22.72644,81.815,21.527349,67.208312
Straight,1210,22.72644,81.815,0.0,67.648329
Straight,1220,22.72644,81.815,0.0,68.088345
Straight,1230,22.72644,81.815,0.0,68.528361
Straight,1240,22.72644,81.815,0.0,68.968377
Straight,1250,22.72644,81.815,0.0,69.408393
Straight,1260,22.72644,81.815,0.0,69.848409
Straight,1270,22.72644,81.815,0.0,70.288425
Straight,1280,22.72644,81.815,0.0,70.728441
Straight,1290,22.72644,81.815,0.0,71.168457
Straight,1300,22.72644,81.815,0.0,71.608474
Straight,1310,22.72644,81.815,0.0,72.04849
Straight,1320,22.72644,81.815,0.0,72.488506
Straight,1330,22.72644,81.815,0.0,72.928522
Straight,1340,22.72644,81.815,0.0,73.368538
Straight,1350,22.72644,81.815,0.0,73.808554
Straight,1360,22.72644,81.815,0.0,74.24857
Straight,1370,22.72644,81.815,0.0,74.688586
Straight,1380,22.72644,81.815,0.0,75.128602
Straight,1390,22.72644,81.815,0.0,75.568619
Straight,1400,22.72644,81.815,0.0,76.008635
Straight,1410,22.72644,81.815,0.0,76.448651
Straight,1420,22.72644,81.815,0.0,76.888667
Straight,1430,22.72644,81.815,0.0,77.328683
Straight,1440,22.72644,81.815,0.0,77.768699
Straight,1450,22.72644,81.815,0.0,78.208715
Straight,1460,22.72644,81.815,0.0,78.648731
Straight,1470,22.72644,81.815,0.0,79.088747
Straight,1480,22.72644,81.815,0.0,79.528764
Straight,1490,22.72644,81.815,0.0,79.96878
Straight,1500,22.72644,81.815,0.0,80.408796
Straight,1510,22.72644,81.815,0.0,80.848812
Straight,1520,22.72644,81.815,0.0,81.288828
Straight,1530,22.72644,81.815,0.0,81.728844
Straight,1540,22.72644,81.815,0.0,82.16886
Straight,1550,22.72644,81.815,0.0,82.608876
Straight,1560,22.72644,81.815,0.0,83.048893
Straight,1570,22.72644,81.815,0.0,83.488909
Straight,1580,22.72644,81.815,0.0,83.928925
Straight,1590,22.653599,81.553,-0.165277,84.369647
Straight,1600,22.285821,80.229,-0.826386,84.814691
Straight,1610,21.911872,78.883,-0.826386,85.267203
Straight,1620,21.531428,77.513,-0.826386,85.727573
Straight,1630,21.144141,76.119,-0.826386,86.196225
Straight,1640,20.749626,74.699,-0.826386,86.673623
Straight,1650,20.347463,73.251,-0.826386,87.160276
Straight,1660,19.93719,71.774,-0.826386,87.656743
Straight,1670,19.518295,70.266,-0.826386,88.163643
Straight,1680,19.09021,68.725,-0.826386,88.681664
Straight,1690,18.652303,67.148,-0.826386,89.21157
Straight,1700,18.203865,65.534,-0.826386,89.75422
Straight,1710,17.744097,63.879,-0.826386,90.31058
Straight,1720,17.272095,62.18,-0.826386,90.881744
Straight,1730,16.786826,60.433,-0.826386,91.468962
Straight,1740,16.287106,58.634,-0.826386,92.073668
Straight,1750,15.77156,56.778,-0.826386,92.697524
Straight,1760,15.238582,54.859,-0.826386,93.342474
Straight,1770,14.686275,52.871,-0.826386,94.010815
Straight,1780,14.112369,50.805,-0.826386,94.705292
Straight,1790,13.514113,48.651,-0.826386,95.429235
Turn,1800,12.888116,46.397,-0.826386,96.186747
Turn,1810,12.230119,44.028,-0.826386,96.982981
Turn,1820,11.534648,41.525,-0.826386,97.824563
Turn,1830,10.794461,38.86,-0.826386,98.720255
Turn,1840,9.999634,35.999,-0.826386,99.682067
Turn,1850,9.135916,32.889,-0.826386,100.727242
Turn,1860,8.181519,29.453,-0.826386,101.882147
Turn,1870,8.181519,29.453,0.0,103.104414
Turn,1880,8.953179,32.231,0.661109,104.271636
Turn,1890,9.663415,34.788,0.661109,105.345947
Turn,1900,10.32491,37.17,0.661109,106.346531
Straight,1910,11.153784,40.154,0.890157,107.277686
Straight,1920,11.393606,41.017,0.270368,108.164707
Straight,1930,11.628483,41.863,0.270368,109.033438
Straight,1940,11.858708,42.691,0.270368,109.884966
Straight,1950,12.084548,43.504,0.270368,110.720274
Straight,1960,12.306245,44.302,0.270368,111.540256
Straight,1970,12.74083,45.867,0.544254,112.338752
Straight,1980,13.142817,47.314,0.520245,113.111441
Straight,1990,13.488078,48.557,0.459731,113.862448
Straight,2000,13.814759,49.733,0.445965,114.594973
Straight,2010,14.12503,50.85,0.433445,115.310798
Straight,2020,14.380186,51.769,0.363665,116.012424
Straight,2030,14.564712,52.433,0.267053,116.703392
Straight,2040,14.742545,53.073,0.26059,117.385817
Straight,2050,14.914159,53.691,0.254476,118.0602
Straight,2060,15.079977,54.288,0.248678,118.726997
Straight,2070,15.240376,54.865,0.243169,119.38662
Straight,2080,15.458693,55.651,0.335105,120.038106
Straight,2090,15.684989,56.466,0.352386,120.680291
Straight,2100,15.949353,57.418,0.418148,121.312515
Straight,2110,16.209378,58.354,0.418103,121.93443
Straight,2120,16.460539,59.258,0.410272,122.546614
Straight,2130,16.703493,60.133,0.402866,123.149677
Straight,2140,16.938818,60.98,0.395844,123.744166
Straight,2150,17.167029,61.801,0.389167,124.330576
Straight,2160,17.388588,62.599,0.382805,124.909353
Straight,2170,17.592402,63.333,0.356482,125.481092
Straight,2180,17.779404,64.006,0.330729,126.046514
Straight,2190,17.961685,64.662,0.325745,126.606095
Straight,2200,18.119387,65.23,0.284503,127.160402
Straight,2210,18.271266,65.777,0.276349,127.709993
Straight,2220,18.419768,66.311,0.272434,128.255086
Straight,2230,18.56504,66.834,0.268642,128.795848
Straight,2240,18.707219,67.346,0.264966,129.33244
Straight,2250,18.788332,67.638,0.152069,129.865837
Straight,2260,18.861585,67.902,0.137899,130.397047
Straight,2270,18.933595,68.161,0.136082,130.926215
Straight,2280,19.004397,68.416,0.134303,131.453391
Straight,2290,19.074022,68.666,0.132561,131.978623
Straight,2300,19.142502,68.913,0.130854,132.501957
Straight,2310,19.209868,69.156,0.129182,133.023437
Straight,2320,19.276149,69.394,0.127544,133.543106
Straight,2330,19.341372,69.629,0.125938,134.061006
Straight,2340,19.399721,69.839,0.113024,134.577253
Straight,2350,19.187458,69.075,-0.40953,135.09556
Straight,2360,18.909759,68.075,-0.528979,135.620533
Straight,2370,18.626417,67.055,-0.531778,136.153352
Straight,2380,18.337036,66.013,-0.534827,136.694427
Straight,2390,18.033038,64.919,-0.552822,137.24433
Turn,2400,8.331651,29.994,-12.788702,138.00292
Turn,2410,7.272461,26.181,-0.826386,139.284634
Turn,2420,7.272461,26.181,0.0,140.659684
Turn,2430,7.72699,27.817,0.340884,141.993066
Turn,2440,8.181519,29.453,0.361544,143.250255
Turn,2450,8.636047,31.09,0.382203,144.439488
Turn,2460,8.908765,32.072,0.239239,145.579426
Turn,2470,9.090576,32.726,0.163624,146.690578
Turn,2480,9.999634,35.999,0.867705,147.738235
Turn,2490,10.454163,37.635,0.464842,148.716049
Straight,2500,19.999268,71.997,14.534059,149.372789
Straight,2510,20.068518,72.247,0.138736,149.871943
Straight,2520,20.129892,72.468,0.123357,150.369476
Straight,2530,20.190374,72.685,0.121933,150.865504
Straight,2540,20.249985,72.9,0.120534,151.360059
Straight,2550,20.308743,73.111,0.119159,151.853172
Straight,2560,20.366669,73.32,0.117807,152.344869
Straight,2570,20.423779,73.526,0.116478,152.83518
Straight,2580,20.503805,73.814,0.163763,153.323848
Straight,2590,20.618015,74.225,0.234825,153.810208
Straight,2600,20.730344,74.629,0.232232,154.293903
Straight,2610,20.84085,75.027,0.229693,154.775005
Straight,2620,20.949587,75.419,0.227208,155.253584
Straight,2630,21.056607,75.804,0.224774,155.729704
Straight,2640,21.137451,76.095,0.170559,156.203704
Straight,2650,21.119201,76.029,-0.03856,156.677003
Straight,2660,21.101127,75.964,-0.038155,157.150708
Straight,2670,21.083227,75.9,-0.037754,157.624817
Straight,2680,21.065501,75.836,-0.037357,158.099328
Straight,2690,21.047947,75.773,-0.036963,158.574235
Straight,2700,21.030564,75.71,-0.036573,159.049537
Straight,2710,21.013351,75.648,-0.036186,159.52523
Straight,2720,20.996306,75.587,-0.035802,160.001311
Straight,2730,20.979429,75.526,-0.035423,160.477777
Straight,2740,20.962717,75.466,-0.035046,160.954624
Straight,2750,20.94617,75.406,-0.034673,161.43185
Straight,2760,21.110097,75.996,0.34471,161.907404
Straight,2770,21.290835,76.647,0.383173,162.379091
Straight,2780,21.468191,77.285,0.379178,162.846829
Straight,2790,21.642295,77.912,0.375285,163.310753
Straight,2800,21.813269,78.528,0.371489,163.770993
Straight,2810,21.981229,79.132,0.367786,164.227672
Straight,2820,22.146282,79.727,0.364169,164.680904
Straight,2830,22.308531,80.311,0.360636,165.130799
Straight,2840,22.468071,80.885,0.357183,165.577461
Straight,2850,22.624993,81.45,0.353805,166.020988
Straight,2860,22.758041,81.929,0.301908,166.461681
Straight,2870,22.83951,82.222,0.185738,166.900301
Straight,2880,22.919946,82.512,0.184035,167.337369
Straight,2890,22.999371,82.798,0.182358,167.772916
Straight,2900,23.077807,83.08,0.180706,168.20697
Straight,2910,23.122024,83.239,0.102142,168.639872
Straight,2920,23.132527,83.277,0.024289,169.072262
Straight,2930,23.14293,83.315,0.024072,169.504457
Straight,2940,23.115429,83.216,-0.063608,169.936811
Straight,2950,23.052335,82.988,-0.145645,170.370014
Straight,2960,22.990342,82.765,-0.142717,170.804393
Straight,2970,22.935099,82.566,-0.126853,171.239882
Straight,2980,22.880225,82.369,-0.125704,171.676417
Straight,2990,22.82572,82.173,-0.12456,172.113997
Turn,3000,17.248156,62.093,-11.175731,172.613075
Turn,3010,16.762194,60.344,-0.826386,173.201131
Turn,3020,16.261717,58.542,-0.826386,173.806753
Turn,3030,15.74534,56.683,-0.826386,174.431615
Turn,3040,15.211443,54.761,-0.826386,175.077677
Turn,3050,14.658114,52.769,-0.826386,175.747255
Turn,3060,14.08306,50.699,-0.826386,176.443121
Turn,3070,13.483503,48.541,-0.826386,177.168638
Turn,3080,12.856016,46.282,-0.826386,177.927953
Turn,3090,12.196288,43.907,-0.826386,178.726283
Turn,3100,11.49877,41.396,-0.826386,179.570341
Turn,3110,10.756115,38.722,-0.826386,180.46902
Turn,3120,9.958227,35.85,-0.826386,181.434534
Turn,3130,9.090576,32.726,-0.826386,182.484469
Turn,3140,9.090576,32.726,0.0,183.584509
Turn,3150,9.090576,32.726,0.0,184.68455
Turn,3160,9.090576,32.726,0.0,185.78459
Turn,3170,9.090576,32.726,0.0,186.88463
Turn,3180,9.79085,35.247,0.661109,187.943872
Turn,3190,10.444277,37.599,0.661109,188.932252
Turn,3200,11.059163,39.813,0.661109,189.862336
Turn,3210,11.641618,41.91,0.661109,190.743363
Turn,3220,12.196288,43.907,0.661109,191.582363
Turn,3230,12.726807,45.817,0.661109,192.384832
Turn,3240,13.236079,47.65,0.661109,193.155162
Turn,3250,13.726469,49.415,0.661109,193.896932
Turn,3260,14.199934,51.12,0.661109,194.6131
Turn,3270,14.658114,52.769,0.661109,195.306147
Turn,3280,15.102399,54.369,0.661109,195.978179
Turn,3290,15.533983,55.922,0.661109,196.630997
Turn,3300,15.953896,57.434,0.661109,197.266162
Turn,3310,16.363037,58.907,0.661109,197.885033
Turn,3320,16.762194,60.344,0.661109,198.488802
Turn,3330,17.152065,61.747,0.661109,199.078525
Turn,3340,17.533268,63.12,0.661109,199.655137
Turn,3350,17.906358,64.463,0.661109,200.219477
Turn,3360,18.271832,65.779,0.661109,200.772297
Turn,3370,18.630137,67.068,0.661109,201.314273
Turn,3380,18.98168,68.334,0.661109,201.846021
Turn,3390,19.32683,69.577,0.661109,202.368098
Turn,3400,19.665923,70.797,0.661109,202.881014
Turn,3410,19.999268,71.997,0.661109,203.385234
Turn,3420,19.999268,71.997,0.0,203.885253
Straight,3430,20.068518,72.247,0.138736,204.384407
Straight,3440,20.129892,72.468,0.123357,204.881939
Straight,3450,20.190374,72.685,0.121933,205.377967
Straight,3460,20.249985,72.9,0.120534,205.872523
Straight,3470,20.308743,73.111,0.119159,206.365635
Straight,3480,20.366669,73.32,0.117807,206.857333
Straight,3490,20.423779,73.526,0.116478,207.347643
Straight,3500,20.503805,73.814,0.163763,207.836311
Straight,3510,20.618015,74.225,0.234825,208.322671
Straight,3520,20.730344,74.629,0.232232,208.806366
Straight,3530,20.84085,75.027,0.229693,209.287469
Straight,3540,20.949587,75.419,0.227208,209.766047
Straight,3550,21.056607,75.804,0.224774,210.242167
Straight,3560,21.137451,76.095,0.170559,210.716168
Straight,3570,21.119201,76.029,-0.03856,211.189466
Straight,3580,21.101127,75.964,-0.038155,211.663171
Straight,3590,21.083227,75.9,-0.037754,212.137281
Straight,3600,21.065501,75.836,-0.037357,212.611791
Straight,3610,21.047947,75.773,-0.036963,213.086699
Straight,3620,21.030564,75.71,-0.036573,213.562001
Straight,3630,21.013351,75.648,-0.036186,214.037694
Straight,3640,20.996306,75.587,-0.035802,214.513775
Straight,3650,20.979429,75.526,-0.035423,214.99024
Straight,3660,20.962717,75.466,-0.035046,215.467088
Straight,3670,20.94617,75.406,-0.034673,215.944314
Straight,3680,21.110097,75.996,0.34471,216.419867
Straight,3690,21.290835,76.647,0.383173,216.891555
Straight,3700,21.468191,77.285,0.379178,217.359292
Straight,3710,21.642295,77.912,0.375285,217.823216
Straight,3720,21.813269,78.528,0.371489,218.283457
Straight,3730,21.981229,79.132,0.367786,218.740135
Straight,3740,22.146282,79.727,0.364169,219.193367
Straight,3750,22.308531,80.311,0.360636,219.643262
Straight,3760,22.468071,80.885,0.357183,220.089924
Straight,3770,22.624993,81.45,0.353805,220.533451
Straight,3780,22.758041,81.929,0.301908,220.974144
Straight,3790,22.83951,82.222,0.185738,221.412765
Straight,3800,22.919946,82.512,0.184035,221.849833
Straight,3810,22.999371,82.798,0.182358,222.285379
Straight,3820,23.077807,83.08,0.180706,222.719434
Straight,3830,23.122024,83.239,0.102142,223.152336
Straight,3840,23.132527,83.277,0.024289,223.584725
Straight,3850,23.14293,83.315,0.024072,224.01692
Straight,3860,23.115429,83.216,-0.063608,224.449274
Straight,3870,23.052335,82.988,-0.145645,224.882477
Straight,3880,22.990342,82.765,-0.142717,225.316857
Straight,3890,22.935099,82.566,-0.126853,225.752345
Straight,3900,22.880225,82.369,-0.125704,226.18888
Straight,3910,22.82572,82.173,-0.12456,226.62646
Straight,3920,22.771584,81.978,-0.123423,227.065082
Straight,3930,22.775494,81.992,0.008905,227.504189
Straight,3940,22.788965,82.04,0.03069,227.943127
Straight,3950,22.80266,82.09,0.031218,228.381804
Straight,3960,22.816221,82.138,0.030932,228.820219
Straight,3970,22.829649,82.187,0.030648,229.258375
Straight,3980,22.842947,82.235,0.030368,229.696274
Straight,3990,22.856116,82.282,0.03009,230.13392
Straight,4000,22.869157,82.329,0.029815,230.571315
Straight,4010,22.882072,82.375,0.029543,231.008462
