section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,25.575101,92.07,0.0,0.0
Straight,10,25.58925,92.121,0.036197,0.390897
Straight,20,25.574828,92.069,-0.036894,0.781796
Straight,30,25.557367,92.007,-0.044643,1.172939
Straight,40,25.540052,91.944,-0.044236,1.564349
Straight,50,25.522884,91.882,-0.043833,1.956022
Straight,60,25.505861,91.821,-0.043433,2.347958
Straight,70,25.510383,91.837,0.011535,2.73999
Straight,80,25.51724,91.862,0.017493,3.131935
Straight,90,25.524032,91.887,0.017333,3.523774
Straight,100,25.53076,91.911,0.017175,3.91551
Straight,110,25.537424,91.935,0.017018,4.307144
Straight,120,25.569334,92.05,0.081539,4.698481
Straight,130,25.630896,92.271,0.1576,5.089105
Straight,140,25.691753,92.49,0.156167,5.478796
Straight,150,25.751917,92.707,0.154754,5.867571
Straight,160,25.811401,92.921,0.153359,6.255444
Straight,170,25.870216,93.133,0.151981,6.642428
Straight,180,25.928372,93.342,0.150622,7.028539
Straight,190,25.985882,93.549,0.149279,7.41379
Straight,200,26.042756,93.754,0.147953,7.798194
Straight,210,26.099004,93.956,0.146644,8.181763
Straight,220,26.154637,94.157,0.145351,8.564512
Straight,230,26.209665,94.355,0.144074,8.946451
Straight,240,26.264097,94.551,0.142813,9.327594
Straight,250,26.317942,94.745,0.141566,9.707952
Straight,260,26.371212,94.936,0.140335,10.087537
Straight,270,26.423913,95.126,0.139119,10.46636
Straight,280,26.476055,95.314,0.137917,10.844432
Straight,290,26.527647,95.5,0.136729,11.221764
Straight,300,26.578698,95.683,0.135555,11.598367
Straight,310,26.655008,95.958,0.203114,11.974069
Straight,320,26.833088,96.599,0.476257,12.347984
Straight,330,27.008501,97.231,0.472227,12.719444
Straight,340,27.181328,97.853,0.468272,13.088517
Straight,350,27.351643,98.466,0.46439,13.455267
Straight,360,27.297759,98.272,-0.147235,13.821237
Straight,370,27.237745,98.056,-0.163645,14.18797
Straight,380,27.177584,97.839,-0.163684,14.555514
Straight,390,27.117274,97.622,-0.163728,14.923873
Straight,400,27.056811,97.405,-0.163776,15.293053
Straight,410,26.996193,97.186,-0.163829,15.66306
Straight,420,26.935417,96.968,-0.163887,16.0339
Straight,430,26.820254,96.553,-0.309532,16.405954
Straight,440,26.668171,96.005,-0.406735,16.779866
Straight,450,26.515133,95.454,-0.406955,17.155924
Straight,460,26.37645,94.955,-0.366757,17.534056
Straight,470,26.260055,94.536,-0.306332,17.914021
Straight,480,26.143054,94.115,-0.306561,18.295677
Straight,490,26.039418,93.742,-0.270398,18.678948
Straight,500,25.968018,93.485,-0.185668,19.063508
Straight,510,25.896356,93.227,-0.185835,19.44913
Straight,520,25.824428,92.968,-0.186009,19.835821
Straight,530,25.752228,92.708,-0.186191,20.223594
Straight,540,25.679752,92.447,-0.186381,20.612457
Straight,550,25.606993,92.185,-0.186579,21.002421
Straight,560,25.533945,91.922,-0.186785,21.393497
Straight,570,25.460604,91.658,-0.187,21.785696
Straight,580,25.330882,91.191,-0.329438,22.179463
Straight,590,23.462326,84.464,-4.558642,22.589356
Turn,600,25.0,90.0,3.725962,23.002048
Turn,610,25.0,90.0,0.0,23.402048
Turn,620,25.0,90.0,0.0,23.802048
Turn,630,25.0,90.0,0.0,24.202048
Turn,640,25.0,90.0,0.0,24.602048
Turn,650,25.0,90.0,0.0,25.002048
Turn,660,24.661501,88.781,-0.840518,25.404774
Turn,670,22.738003,81.857,-4.558642,25.826719
Turn,680,20.635987,74.29,-4.558642,26.287825
Turn,690,18.294019,65.858,-4.558642,26.801568
Turn,700,15.604431,56.176,-4.558642,27.391565
Straight,710,12.342019,44.431,-4.558642,28.10722
Straight,720,12.455014,44.838,0.140097,28.913768
Straight,730,12.566993,45.241,0.140097,29.713064
Straight,740,12.677982,45.641,0.140097,30.505301
Straight,750,12.788009,46.037,0.140097,31.290662
Straight,760,12.897096,46.43,0.140097,32.069323
Straight,770,13.318815,47.948,0.552787,32.832219
