section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,29.828805,107.384,0.0,0.0
Straight,10,29.845307,107.443,0.049239,0.335154
Straight,20,29.828487,107.383,-0.050187,0.670309
Straight,30,29.808121,107.309,-0.060728,1.005674
Straight,40,29.787926,107.237,-0.060175,1.341266
Straight,50,29.767903,107.164,-0.059626,1.677086
Straight,60,29.748049,107.093,-0.059082,2.01313
Straight,70,29.753323,107.112,0.015691,2.349257
Straight,80,29.76132,107.141,0.023796,2.685309
Straight,90,29.769241,107.169,0.023579,3.02127
Straight,100,29.777088,107.198,0.023363,3.357143
Straight,110,29.784862,107.226,0.02315,3.692928
Straight,120,29.822078,107.359,0.110919,4.02846
Straight,130,29.893879,107.618,0.214384,4.363379
Straight,140,29.964858,107.873,0.212436,4.697498
Straight,150,30.03503,108.126,0.210513,5.030832
Straight,160,30.104407,108.376,0.208615,5.363393
Straight,170,30.173003,108.623,0.206741,5.695192
Straight,180,30.240833,108.867,0.204892,6.026242
Straight,190,30.307908,109.108,0.203065,6.356555
Straight,200,30.374241,109.347,0.201262,6.686141
Straight,210,30.439844,109.583,0.199481,7.015012
Straight,220,30.50473,109.817,0.197722,7.343179
Straight,230,30.56891,110.048,0.195985,7.670653
Straight,240,30.632395,110.277,0.194269,7.997443
Straight,250,30.695197,110.503,0.192574,8.32356
Straight,260,30.757326,110.726,0.190899,8.649015
Straight,270,30.818793,110.948,0.189244,8.973816
Straight,280,30.879607,111.167,0.187609,9.297974
Straight,290,30.939781,111.383,0.185993,9.621497
Straight,300,30.999322,111.598,0.184396,9.944395
Straight,310,31.088324,111.918,0.276297,10.26652
Straight,320,31.296022,112.666,0.647856,10.587113
Straight,330,31.500611,113.402,0.642374,10.905602
Straight,340,31.702182,114.128,0.636994,11.222043
Straight,350,31.900825,114.843,0.631712,11.536494
Straight,360,31.837979,114.617,-0.200285,11.850274
Straight,370,31.767983,114.365,-0.222608,12.16471
Straight,380,31.697816,114.112,-0.222661,12.479841
Straight,390,31.627475,113.859,-0.22272,12.79567
Straight,400,31.556955,113.605,-0.222786,13.112204
Straight,410,31.486255,113.351,-0.222858,13.429447
Straight,420,31.415371,113.095,-0.222937,13.747403
Straight,430,31.281055,112.612,-0.421059,14.066401
Straight,440,31.103676,111.973,-0.553285,14.386992
Straight,450,30.925184,111.331,-0.553583,14.709423
Straight,460,30.763436,110.748,-0.498903,15.033632
Straight,470,30.627681,110.26,-0.416706,15.359412
Straight,480,30.49122,109.768,-0.417017,15.686643
Straight,490,30.370348,109.333,-0.367824,16.015257
Straight,500,30.287072,109.033,-0.252566,16.344978
Straight,510,30.203491,108.733,-0.252792,16.675608
Straight,520,30.1196,108.431,-0.253029,17.007156
Straight,530,30.035392,108.127,-0.253276,17.33963
Straight,540,29.950861,107.823,-0.253535,17.67304
