section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,14.700409,52.921,0.0,0.0
Straight,10,15.034247,54.123,0.496328,0.672616
Straight,20,15.368085,55.325,0.507473,1.33046
Straight,30,15.701924,56.527,0.518618,1.974168
Straight,40,16.035762,57.729,0.529763,2.604333
Straight,50,16.3696,58.931,0.540908,3.221515
Straight,60,16.393348,59.016,0.038903,3.831961
Straight,70,16.380634,58.97,-0.020835,4.442201
Straight,80,16.367363,58.923,-0.02173,5.052925
Straight,90,16.44102,59.188,0.120828,5.662526
Straight,100,16.476175,59.314,0.05786,6.270111
Straight,110,16.5104,59.437,0.056449,6.876418
Straight,120,16.503193,59.411,-0.011897,7.482229
Straight,130,16.494811,59.381,-0.013829,8.088326
Straight,140,16.436426,59.171,-0.096134,8.695652
Straight,150,16.20517,58.339,-0.37743,9.308368
Straight,160,15.967688,57.484,-0.382023,9.93001
Straight,170,15.817367,56.943,-0.238898,10.559236
Straight,180,15.670687,56.414,-0.230933,11.194398
Straight,190,15.60671,56.184,-0.10005,11.833837
Straight,200,15.577241,56.078,-0.045948,12.475193
Straight,210,15.549302,55.977,-0.043482,13.117731
Straight,220,15.509452,55.834,-0.061884,13.761672
Straight,230,15.48346,55.74,-0.040279,14.406981
Straight,240,15.458315,55.65,-0.038902,15.053356
Turn,250,15.300564,55.082,-0.242612,15.703575
Turn,260,15.159861,54.575,-0.214294,16.360164
Turn,270,15.020864,54.075,-0.209751,17.022839
Turn,280,14.8454,53.443,-0.262024,17.692491
Turn,290,14.667288,52.802,-0.262827,18.370166
Turn,300,14.355101,51.678,-0.453021,19.059289
Turn,310,14.203584,51.133,-0.216356,19.759601
Turn,320,14.065984,50.638,-0.194494,20.467076
Turn,330,13.96115,50.26,-0.14691,21.18067
Turn,340,13.941183,50.188,-0.027856,21.897456
Turn,350,13.923499,50.125,-0.024638,22.61521
Turn,360,13.905338,50.059,-0.025269,23.333889
Turn,370,14.052396,50.589,0.205571,24.049255
Turn,380,14.210136,51.156,0.222907,24.756905
Turn,390,14.367294,51.722,0.224557,25.456758
Turn,400,14.803631,53.293,0.636418,26.142373
Turn,410,15.006891,54.025,0.302964,26.813277
Turn,420,15.180812,54.651,0.262513,27.475798
Straight,430,15.622837,56.242,0.680799,28.125072
Straight,440,15.848992,57.056,0.355877,28.760561
Straight,450,16.045264,57.763,0.312997,29.387633
Straight,460,16.384687,58.985,0.550373,30.004347
Straight,470,16.494508,59.38,0.180543,30.612634
Straight,480,16.572039,59.659,0.128184,31.217475
Straight,490,16.578294,59.682,0.010367,31.820787
Straight,500,16.574802,59.669,-0.005789,32.424049
Straight,510,16.413074,59.087,-0.266753,33.030333
Straight,520,16.215274,58.375,-0.322694,33.643296
Straight,530,16.01551,57.656,-0.321928,34.263821
Straight,540,15.784855,56.825,-0.366745,34.892745
Straight,550,15.549469,55.978,-0.368784,35.531023
Straight,560,15.312276,55.124,-0.36601,36.179074
Straight,570,15.296958,55.069,-0.023443,36.832472
Straight,580,15.317912,55.144,0.032076,37.485749
Turn,590,15.312601,55.125,-0.008134,38.138693
Turn,600,15.300442,55.082,-0.018612,38.792009
Turn,610,15.287869,55.036,-0.019229,39.445853
Turn,620,15.20666,54.744,-0.123821,40.101709
Turn,630,15.074718,54.269,-0.199769,40.762181
Turn,640,14.935722,53.769,-0.208568,41.428615
Turn,650,14.587366,52.515,-0.514227,42.106051
Turn,660,14.436982,51.973,-0.21824,42.795128
Turn,670,14.332909,51.598,-0.149708,43.490299
Turn,680,14.139914,50.904,-0.274755,44.192723
Turn,690,14.073834,50.666,-0.093219,44.901598
Turn,700,14.037513,50.535,-0.051051,45.613054
Turn,710,14.056482,50.603,0.026646,46.32495
Turn,720,14.150376,50.941,0.132422,47.033998
Turn,730,14.257941,51.329,0.152787,47.738017
Turn,740,14.47736,52.118,0.315254,48.434025
Turn,750,14.627384,52.659,0.21832,49.121198
Turn,760,14.699185,52.917,0.105284,49.803173
Turn,770,14.757857,53.128,0.086415,50.482128
Turn,780,14.841331,53.429,0.123538,51.157822
Turn,790,14.923431,53.724,0.122184,51.829758
Turn,800,15.003756,54.014,0.120195,52.498047
Turn,810,15.1483,54.534,0.217915,53.161351
Turn,820,15.19149,54.689,0.065519,53.820552
Turn,830,15.204761,54.737,0.02017,54.478527
Turn,840,15.2385,54.859,0.051356,55.135487
Turn,850,15.277614,54.999,0.059681,55.790879
Turn,860,15.373896,55.346,0.147558,56.443375
Turn,870,15.436886,55.573,0.09704,57.092499
Straight,880,15.486478,55.751,0.076677,57.739259
Straight,890,15.593235,56.136,0.165898,58.382765
Straight,900,15.684148,56.463,0.142177,59.022205
Straight,910,15.76587,56.757,0.128507,59.658135
Straight,920,15.882638,57.177,0.184777,60.290076
Straight,930,15.943658,57.397,0.097101,60.918487
Straight,940,15.984868,57.546,0.065789,61.544886
Straight,950,16.03996,57.744,0.088216,62.169402
Straight,960,16.09933,57.958,0.095406,62.791693
Straight,970,16.130588,58.07,0.050372,63.412234
Straight,980,16.136022,58.09,0.008766,64.03207
Straight,990,16.136022,58.09,0.0,64.651802
Straight,1000,16.111864,58.003,-0.038952,65.271997
Straight,1010,16.067696,57.844,-0.071066,65.89351
Straight,1020,16.019501,57.67,-0.077322,66.516811
Straight,1030,16.083089,57.899,0.102066,67.139814
Straight,1040,16.185066,58.266,0.164531,67.75962
Straight,1050,16.308733,58.711,0.200921,68.375122
Straight,1060,16.371596,58.938,0.102719,68.987111
Straight,1070,16.410012,59.076,0.062967,69.597209
Straight,1080,16.397312,59.03,-0.020833,70.206829
Straight,1090,16.36588,58.917,-0.05149,70.817271
Straight,1100,16.184688,58.265,-0.294896,71.431699
Straight,1110,16.022081,57.679,-0.261852,72.052687
Straight,1120,15.887974,57.197,-0.213969,72.679448
Straight,1130,15.726736,56.616,-0.254874,73.312065
Straight,1140,15.554911,55.998,-0.268749,73.951418
Straight,1150,15.334193,55.203,-0.34089,74.598895
Straight,1160,15.250523,54.902,-0.127951,75.252817
Straight,1170,15.230267,54.829,-0.030871,75.908968
Straight,1180,15.213467,54.768,-0.025573,76.565917
Straight,1190,15.207938,54.749,-0.008409,77.223349
Straight,1200,15.206541,54.744,-0.002124,77.880931
Straight,1210,15.204168,54.735,-0.003609,78.538594
Straight,1220,15.205754,54.741,0.002412,79.196274
Straight,1230,15.209246,54.753,0.005311,79.853844
Straight,1240,15.25284,54.91,0.066399,80.510398
Straight,1250,15.298901,55.076,0.070362,81.165025
Straight,1260,15.338016,55.217,0.059918,81.817832
Straight,1270,15.460286,55.657,0.188286,82.467219
Straight,1280,15.554274,55.995,0.14575,83.112077
Straight,1290,15.617137,56.222,0.097976,83.753691
Straight,1300,15.6748,56.429,0.09022,84.392833
Straight,1310,15.72998,56.628,0.086645,85.029679
Straight,1320,15.764048,56.751,0.053647,85.66472
Straight,1330,15.78172,56.814,0.027874,86.298719
Straight,1340,15.796388,56.867,0.023159,86.932069
Straight,1350,15.820798,56.955,0.038589,87.564637
Straight,1360,15.859839,57.095,0.061842,88.195937
Straight,1370,15.903843,57.254,0.069886,88.825587
Straight,1380,15.983163,57.539,0.126464,89.452802
Straight,1390,16.080949,57.891,0.156772,90.076552
Straight,1400,16.225161,58.411,0.232946,90.69563
Straight,1410,16.322556,58.761,0.158498,91.310113
Straight,1420,16.381228,58.972,0.09594,91.921663
Straight,1430,16.430002,59.148,0.080017,92.53121
Straight,1440,16.473307,59.304,0.071245,93.139052
Straight,1450,16.533576,59.521,0.099464,93.744986
Straight,1460,16.598088,59.753,0.106869,94.348638
Straight,1470,16.659554,59.974,0.102211,94.950004
Straight,1480,16.752782,60.31,0.155749,95.548585
Straight,1490,16.829826,60.587,0.129367,96.144131
Straight,1500,16.886403,60.791,0.095377,96.737317
Straight,1510,16.954748,61.037,0.115645,97.328314
Straight,1520,17.030184,61.309,0.128183,97.91681
Straight,1530,17.090918,61.527,0.103616,98.502957
Straight,1540,17.142605,61.713,0.088472,99.08718
Straight,1550,17.135963,61.689,-0.011383,99.670635
Straight,1560,17.086678,61.512,-0.084334,100.255044
Straight,1570,17.033594,61.321,-0.090562,100.841205
Straight,1580,16.979239,61.125,-0.092439,101.429219
Straight,1590,16.924059,60.927,-0.093539,102.019132
Straight,1600,16.873501,60.745,-0.085437,102.610891
Straight,1610,16.889599,60.803,0.027176,103.203253
Straight,1620,16.948271,61.014,0.099267,103.794307
Straight,1630,16.997401,61.191,0.083387,104.383484
Straight,1640,17.040008,61.344,0.072512,104.971072
Straight,1650,17.085083,61.506,0.07691,105.557151
Straight,1660,17.131881,61.675,0.080064,106.141657
Straight,1670,17.1073,61.586,-0.042082,106.725783
Straight,1680,17.045673,61.364,-0.105237,107.311384
Straight,1690,16.993985,61.178,-0.087971,107.898934
Straight,1700,16.900022,60.84,-0.15924,108.489008
Straight,1710,16.774995,60.39,-0.210515,109.08292
Straight,1720,16.594489,59.74,-0.30117,109.68227
Straight,1730,16.372373,58.941,-0.366122,110.28894
Straight,1740,15.778367,56.802,-0.954886,110.91101
Straight,1750,15.212817,54.766,-0.876354,111.556355
Straight,1760,14.889423,53.602,-0.486745,112.220757
Straight,1770,14.572665,52.462,-0.466618,112.899596
Straight,1780,14.294566,51.46,-0.401397,113.592423
Straight,1790,14.043115,50.555,-0.356277,114.298197
Straight,1800,13.721571,49.398,-0.446378,115.018536
Turn,1810,13.473727,48.505,-0.337009,115.753958
Turn,1820,13.333334,48.0,-0.188177,116.50003
Turn,1830,13.036812,46.933,-0.390966,117.258463
Turn,1840,12.544308,45.16,-0.629941,118.04029
Turn,1850,12.296295,44.267,-0.30804,118.845423
Turn,1860,12.373981,44.546,0.095828,119.656115
Turn,1870,12.511581,45.042,0.171212,120.459794
Turn,1880,12.832885,46.198,0.407164,121.248921
Turn,1890,13.299978,47.88,0.610324,122.014241
Turn,1900,13.623189,49.043,0.435093,122.757096
Straight,1910,13.829938,49.788,0.283795,123.48561
Straight,1920,14.083294,50.7,0.353599,124.202116
Straight,1930,14.326542,51.576,0.345532,124.906098
Straight,1940,14.467347,52.082,0.202716,125.60069
Straight,1950,14.558149,52.409,0.131778,126.289739
Straight,1960,14.532531,52.317,-0.037262,126.977244
Straight,1970,14.338061,51.617,-0.280724,127.669991
Turn,1980,14.088006,50.717,-0.355403,128.37357
Turn,1990,13.645834,49.125,-0.613157,129.094711
Turn,2000,13.220279,47.593,-0.571651,129.839143
Turn,2010,12.99956,46.798,-0.28936,130.601924
Turn,2020,12.80865,46.111,-0.246352,131.376872
