section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,24.224836,87.209,0.0,0.0
Straight,10,24.238238,87.258,0.032475,0.412685
Straight,20,24.224578,87.208,-0.033101,0.825373
Straight,30,24.208038,87.149,-0.040053,1.238318
Straight,40,24.191638,87.09,-0.039689,1.651544
Straight,50,24.175376,87.031,-0.039327,2.065049
Straight,60,24.159252,86.973,-0.038968,2.478831
Straight,70,24.163535,86.989,0.010349,2.892714
Straight,80,24.17003,87.012,0.015695,3.306505
Straight,90,24.176463,87.035,0.015551,3.720186
Straight,100,24.182836,87.058,0.015409,4.133757
Straight,110,24.189149,87.081,0.015269,4.547219
Straight,120,24.219373,87.19,0.073157,4.960369
Straight,130,24.277685,87.4,0.141398,5.372766
Straight,140,24.335329,87.607,0.140113,5.784178
Straight,150,24.392317,87.812,0.138844,6.194623
Straight,160,24.44866,88.015,0.137593,6.604115
Straight,170,24.50437,88.216,0.136357,7.01267
Straight,180,24.559456,88.414,0.135137,7.420302
Straight,190,24.613929,88.61,0.133932,7.827026
Straight,200,24.6678,88.804,0.132743,8.232856
Straight,210,24.721079,88.996,0.131568,8.637806
Straight,220,24.773775,89.186,0.130408,9.041888
Straight,230,24.825897,89.373,0.129263,9.445116
Straight,240,24.877455,89.559,0.128131,9.847504
Straight,250,24.928458,89.742,0.127013,10.249062
Straight,260,24.978915,89.924,0.125908,10.649805
Straight,270,25.028834,90.104,0.124817,11.049743
Straight,280,25.078223,90.282,0.123738,11.448888
Straight,290,25.127092,90.458,0.122672,11.847252
Straight,300,25.175447,90.632,0.121619,12.244847
Straight,310,25.247728,90.892,0.182232,12.64149
Straight,320,25.416406,91.499,0.427296,13.036246
Straight,330,25.582558,92.097,0.42368,13.428411
Straight,340,25.74626,92.687,0.420132,13.818056
Straight,350,25.907583,93.267,0.416648,14.205249
Straight,360,25.856545,93.084,-0.132099,14.591617
Straight,370,25.799699,92.879,-0.146822,14.978791
Straight,380,25.742714,92.674,-0.146857,15.366821
Straight,390,25.685588,92.468,-0.146896,15.755712
Straight,400,25.628317,92.262,-0.146939,16.14547
Straight,410,25.5709,92.055,-0.146987,16.536101
Straight,420,25.513333,91.848,-0.147039,16.927611
