section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,23.095926,83.145,0.0,0.0
Straight,10,23.108704,83.191,0.029519,0.432857
Straight,20,23.09568,83.144,-0.030088,0.865716
Straight,30,23.079911,83.088,-0.036407,1.298846
Straight,40,23.064275,83.031,-0.036076,1.73227
Straight,50,23.048771,82.976,-0.035747,2.165986
Straight,60,23.033398,82.92,-0.03542,2.599994
Straight,70,23.037482,82.935,0.009407,3.034108
Straight,80,23.043674,82.957,0.014266,3.468124
Straight,90,23.049807,82.979,0.014136,3.902025
Straight,100,23.055883,83.001,0.014007,4.335811
Straight,110,23.061902,83.023,0.013879,4.769483
Straight,120,23.090718,83.127,0.066497,5.202828
Straight,130,23.146312,83.327,0.128526,5.635382
Straight,140,23.20127,83.525,0.127358,6.066904
Straight,150,23.255602,83.72,0.126205,6.497411
Straight,160,23.30932,83.914,0.125067,6.926919
Straight,170,23.362433,84.105,0.123944,7.355443
Straight,180,23.414952,84.294,0.122835,7.783
Straight,190,23.466887,84.481,0.12174,8.209605
Straight,200,23.518248,84.666,0.120659,8.635271
Straight,210,23.569043,84.849,0.119592,9.060014
Straight,220,23.619283,85.029,0.118537,9.483848
Straight,230,23.668977,85.208,0.117496,9.906786
Straight,240,23.718132,85.385,0.116467,10.328842
Straight,250,23.766759,85.56,0.115451,10.750028
Straight,260,23.814864,85.734,0.114446,11.170359
Straight,270,23.862456,85.905,0.113454,11.589845
Straight,280,23.909544,86.074,0.112474,12.008501
Straight,290,23.956135,86.242,0.111505,12.426337
Straight,300,24.002237,86.408,0.110548,12.843365
Straight,310,24.07115,86.656,0.165644,13.259395
Straight,320,24.231967,87.235,0.388399,13.673447
Straight,330,24.390376,87.805,0.385112,14.084781
Straight,340,24.54645,88.367,0.381887,14.493471
Straight,350,24.700255,88.921,0.37872,14.89959
Straight,360,24.651595,88.746,-0.120074,15.304843
Straight,370,24.597398,88.551,-0.133456,15.710943
Straight,380,24.543069,88.355,-0.133488,16.117939
Straight,390,24.488605,88.159,-0.133524,16.525839
Straight,400,24.434003,87.962,-0.133563,16.934648
Straight,410,24.379261,87.765,-0.133606,17.344372
Straight,420,24.324377,87.568,-0.133654,17.755019
Straight,430,24.220378,87.193,-0.25243,18.16701
Straight,440,24.083037,86.699,-0.331702,18.58106
Straight,450,23.944834,86.201,-0.331881,18.997485
Straight,460,23.819594,85.751,-0.299099,19.416206
Straight,470,23.714482,85.372,-0.249821,19.836957
Straight,480,23.608823,84.992,-0.250007,20.259582
Straight,490,23.515234,84.655,-0.220516,20.683993
Straight,500,23.450754,84.423,-0.151417,21.109834
Straight,510,23.386039,84.19,-0.151552,21.536848
Straight,520,23.321084,83.956,-0.151694,21.965048
Straight,530,23.255883,83.721,-0.151843,22.394445
Straight,540,23.190432,83.486,-0.151998,22.82505
Straight,550,23.124726,83.249,-0.152159,23.256874
Straight,560,23.05876,83.012,-0.152328,23.689929
Straight,570,22.992528,82.773,-0.152503,24.124228
Straight,580,22.926025,82.534,-0.152685,24.559781
Straight,590,21.187958,76.277,-3.833655,25.013152
Turn,600,22.926025,82.534,3.833655,25.466523
Turn,610,22.926025,82.534,0.0,25.902709
Turn,620,22.926025,82.534,0.0,26.338894
Turn,630,22.926025,82.534,0.0,26.77508
Turn,640,22.926025,82.534,0.0,27.211265
Turn,650,22.926025,82.534,0.0,27.647451
Turn,660,22.926025,82.534,0.0,28.083636
Turn,670,22.11145,79.601,-1.834322,28.527711
Turn,680,19.943504,71.797,-4.558642,29.003279
Turn,690,17.509156,63.033,-4.558642,29.537287
Turn,700,14.676433,52.835,-4.558642,30.158683
Straight,710,11.14562,40.124,-4.558642,30.933215
Straight,720,11.247661,40.492,0.114252,31.82634
Straight,730,11.348785,40.856,0.114252,32.711434
Straight,740,11.449016,41.216,0.114252,33.588712
Straight,750,11.548377,41.574,0.114252,34.458376
Straight,760,11.64689,41.929,0.114252,35.320621
Straight,770,12.027728,43.3,0.45081,36.165407
Straight,780,12.381623,44.574,0.431917,36.984766
Straight,790,12.712576,45.765,0.41525,37.781762
Straight,800,13.023709,46.885,0.400371,38.558875
Straight,810,13.317512,47.943,0.386956,39.318142
Straight,820,13.596004,48.946,0.37476,40.061263
Straight,830,13.86085,49.899,0.363592,40.789678
Straight,840,14.176366,51.035,0.44231,41.503016
Straight,850,14.483649,52.141,0.440336,42.200852
Straight,860,14.77699,53.197,0.429167,42.884364
Straight,870,15.057759,54.208,0.418834,43.554723
Straight,880,15.327121,55.178,0.409226,44.212946
Straight,890,15.476231,55.714,0.229655,44.862226
Straight,900,15.608661,56.191,0.205829,45.505625
Straight,910,15.737265,56.654,0.201559,46.143666
Straight,920,15.862242,57.104,0.197462,46.776588
Straight,930,15.98378,57.542,0.193525,47.40461
Straight,940,16.102048,57.967,0.189737,48.027938
Straight,950,16.217205,58.382,0.186089,48.646764
Straight,960,16.329397,58.786,0.182573,49.261267
Straight,970,16.398602,59.035,0.113247,49.872365
Straight,980,16.456242,59.242,0.094687,50.481103
Straight,990,16.512638,59.445,0.092965,51.087736
Straight,1000,16.56783,59.644,0.091289,51.692322
Straight,1010,16.621856,59.839,0.089656,52.294919
Straight,1020,16.229656,58.427,-0.644217,52.903719
Straight,1030,15.850887,57.063,-0.607556,53.52715
Straight,1040,15.457913,55.648,-0.615177,54.165948
Straight,1050,15.049001,54.176,-0.623733,54.821537
Straight,1060,14.622055,52.639,-0.633397,55.495595
Straight,1070,14.174506,51.028,-0.644394,56.190122
Straight,1080,13.818663,49.747,-0.498058,56.904582
Straight,1090,13.45869,48.451,-0.490955,57.637791
Straight,1100,13.080023,47.088,-0.502468,58.391407
Straight,1110,12.679725,45.647,-0.515578,59.167812
Straight,1120,12.254056,44.115,-0.530678,59.969937
Straight,1130,11.798122,42.473,-0.548309,60.801462
Straight,1140,11.454492,41.236,-0.399515,61.661581
Straight,1150,11.10231,39.968,-0.397205,62.548231
Straight,1160,10.721385,38.597,-0.41566,63.464666
Straight,1170,10.305157,37.099,-0.437592,64.415845
Straight,1180,9.851445,35.465,-0.457265,65.408076
Straight,1190,9.35202,33.667,-0.479534,66.449554
Straight,1200,13.36537,48.115,4.558642,67.329937
Straight,1210,16.425771,59.133,4.558642,68.001278
Straight,1220,18.999442,68.398,4.558642,68.565847
Straight,1230,21.263858,76.55,4.558642,69.062578
Straight,1240,22.926025,82.534,3.67255,69.51517
Straight,1250,22.926025,82.534,0.0,69.951355
Straight,1260,22.926025,82.534,0.0,70.387541
Straight,1270,22.926025,82.534,0.0,70.823726
Straight,1280,22.926025,82.534,0.0,71.259912
Straight,1290,22.926025,82.534,0.0,71.696097
Straight,1300,22.926025,82.534,0.0,72.132283
Straight,1310,22.926025,82.534,0.0,72.568468
Straight,1320,22.926025,82.534,0.0,73.004654
Straight,1330,22.926025,82.534,0.0,73.440839
Straight,1340,22.926025,82.534,0.0,73.877025
Straight,1350,22.926025,82.534,0.0,74.31321
Straight,1360,22.926025,82.534,0.0,74.749396
Straight,1370,22.926025,82.534,0.0,75.185581
Straight,1380,22.926025,82.534,0.0,75.621767
Straight,1390,22.926025,82.534,0.0,76.057952
Straight,1400,22.926025,82.534,0.0,76.494138
Straight,1410,22.926025,82.534,0.0,76.930324
Straight,1420,22.926025,82.534,0.0,77.366509
Straight,1430,22.926025,82.534,0.0,77.802695
Straight,1440,22.926025,82.534,0.0,78.23888
Straight,1450,22.926025,82.534,0.0,78.675066
Straight,1460,22.926025,82.534,0.0,79.111251
Straight,1470,22.926025,82.534,0.0,79.547437
Straight,1480,22.926025,82.534,0.0,79.983622
Straight,1490,22.926025,82.534,0.0,80.419808
Straight,1500,22.926025,82.534,0.0,80.855993
Straight,1510,22.926025,82.534,0.0,81.292179
Straight,1520,22.926025,82.534,0.0,81.728364
Straight,1530,22.926025,82.534,0.0,82.16455
Straight,1540,22.926025,82.534,0.0,82.600735
Straight,1550,22.926025,82.534,0.0,83.036921
Straight,1560,22.926025,82.534,0.0,83.473106
Straight,1570,22.926025,82.534,0.0,83.909292
Straight,1580,22.926025,82.534,0.0,84.345477
Straight,1590,22.852544,82.269,-0.168193,84.782363
Straight,1600,22.481537,80.934,-0.840964,85.223532
Straight,1610,22.104303,79.575,-0.840964,85.672105
Straight,1620,21.720519,78.194,-0.840964,86.128467
Straight,1630,21.32983,76.787,-0.840964,86.59304
Straight,1640,20.93185,75.355,-0.840964,87.066282
Straight,1650,20.526156,73.894,-0.840964,87.548697
Straight,1660,20.11228,72.404,-0.840964,88.040842
Straight,1670,19.689706,70.883,-0.840964,88.54333
Straight,1680,19.257861,69.328,-0.840964,89.056841
Straight,1690,18.816108,67.738,-0.840964,89.582134
Straight,1700,18.363732,66.109,-0.840964,90.12006
Straight,1710,17.899927,64.44,-0.840964,90.671576
Straight,1720,17.423779,62.726,-0.840964,91.237768
Straight,1730,16.934249,60.963,-0.840964,91.819874
Straight,1740,16.43014,59.149,-0.840964,92.419315
Straight,1750,15.910067,57.276,-0.840964,93.037741
Straight,1760,15.372409,55.341,-0.840964,93.677076
Straight,1770,14.815251,53.335,-0.840964,94.339599
Straight,1780,14.236305,51.251,-0.840964,95.02803
Straight,1790,13.632795,49.078,-0.840964,95.74567
Turn,1800,13.0013,46.805,-0.840964,96.496588
Turn,1810,12.337525,44.415,-0.840964,97.28589
Turn,1820,11.635946,41.889,-0.840964,98.120146
Turn,1830,10.889259,39.201,-0.840964,99.00804
Turn,1840,10.087451,36.315,-0.840964,99.961478
Turn,1850,9.216148,33.178,-0.840964,100.997555
Turn,1860,8.253369,29.712,-0.840964,102.142406
Turn,1870,8.253369,29.712,0.0,103.354032
Turn,1880,9.031807,32.515,0.672771,104.511093
Turn,1890,9.74828,35.094,0.672771,105.576051
Turn,1900,10.415584,37.496,0.672771,106.567924
Straight,1910,11.251737,40.506,0.90586,107.490973
Straight,1920,11.493665,41.377,0.275137,108.370272
Straight,1930,11.730605,42.23,0.275137,109.23144
Straight,1940,11.962852,43.066,0.275137,110.075555
Straight,1950,12.190676,43.886,0.275137,110.903591
Straight,1960,12.414319,44.692,0.275137,111.716435
Straight,1970,12.852721,46.27,0.553855,112.50798
Straight,1980,13.258238,47.73,0.529423,113.273941
Straight,1990,13.606531,48.984,0.467841,114.018411
Straight,2000,13.936081,50.17,0.453833,114.744558
Straight,2010,14.249077,51.297,0.441092,115.454152
Straight,2020,14.506474,52.223,0.37008,116.14967
Straight,2030,14.69262,52.893,0.271764,116.834622
Straight,2040,14.872014,53.539,0.265187,117.511106
Straight,2050,15.045136,54.162,0.258965,118.179619
Straight,2060,15.21241,54.765,0.253065,118.840611
Straight,2070,15.374218,55.347,0.247458,119.494492
Straight,2080,15.594452,56.14,0.341017,120.140306
Straight,2090,15.822736,56.962,0.358602,120.7769
Straight,2100,16.089421,57.922,0.425525,121.40362
Straight,2110,16.351729,58.866,0.425479,122.020121
Straight,2120,16.605097,59.778,0.417509,122.626976
Straight,2130,16.850184,60.661,0.409973,123.224789
Straight,2140,17.087576,61.515,0.402827,123.814103
Straight,2150,17.317791,62.344,0.396032,124.395408
Straight,2160,17.541295,63.149,0.389558,124.969146
Straight,2170,17.7469,63.889,0.362771,125.535908
Straight,2180,17.935544,64.568,0.336564,126.096408
Straight,2190,18.119425,65.23,0.331492,126.651116
Straight,2200,18.278513,65.803,0.289522,127.200598
Straight,2210,18.431725,66.354,0.281224,127.745405
Straight,2220,18.581531,66.894,0.27724,128.285752
Straight,2230,18.728079,67.421,0.273382,128.821807
Straight,2240,18.871506,67.937,0.269641,129.353728
Straight,2250,18.953332,68.232,0.154751,129.882481
Straight,2260,19.027229,68.498,0.140332,130.409066
Straight,2270,19.099871,68.76,0.138483,130.933627
Straight,2280,19.171294,69.017,0.136672,131.456214
Straight,2290,19.241531,69.27,0.134899,131.976873
Straight,2300,19.310613,69.518,0.133163,132.495651
Straight,2310,19.378571,69.763,0.131461,133.012592
Straight,2320,19.445433,70.004,0.129794,133.527737
Straight,2330,19.511229,70.24,0.128159,134.041128
Straight,2340,19.57009,70.452,0.115018,134.552881
Straight,2350,19.355964,69.681,-0.416755,135.066676
Straight,2360,19.075825,68.673,-0.53831,135.587078
Straight,2370,18.551537,66.786,-0.98638,136.118607
Straight,2380,15.905555,57.26,-4.558642,136.699039
Straight,2390,12.720607,45.794,-4.558642,137.3977
Turn,2400,8.40482,30.257,-4.558642,138.344427
Turn,2410,7.336328,26.411,-0.840964,139.614982
Turn,2420,7.336328,26.411,0.0,140.978062
Turn,2430,7.794849,28.061,0.346898,142.299836
Turn,2440,8.253369,29.712,0.367922,143.54608
